  node_modules/@pkgr/core; 0.1.1; https://registry.npmjs.org/@pkgr/core/-/core-0.1.1.tgz; Неизвестно; MIT; None
  node_modules/@rc-component/async-validator; 5.0.4; https://registry.npmjs.org/@rc-component/async-validator/-/async-validator-5.0.4.tgz; Неизвестно; MIT; None
  node_modules/@rc-component/color-picker; 2.0.1; https://registry.npmjs.org/@rc-component/color-picker/-/color-picker-2.0.1.tgz; Неизвестно; MIT; None
  node_modules/@rc-component/context; 1.4.0; https://registry.npmjs.org/@rc-component/context/-/context-1.4.0.tgz; Неизвестно; MIT; None
  node_modules/@rc-component/mini-decimal; 1.1.0; https://registry.npmjs.org/@rc-component/mini-decimal/-/mini-decimal-1.1.0.tgz; Неизвестно; MIT; None
  node_modules/@rc-component/mutate-observer; 1.1.0; https://registry.npmjs.org/@rc-component/mutate-observer/-/mutate-observer-1.1.0.tgz; Неизвестно; MIT; None
  node_modules/@rc-component/portal; 1.1.2; https://registry.npmjs.org/@rc-component/portal/-/portal-1.1.2.tgz; Неизвестно; MIT; None
  node_modules/@rc-component/qrcode; 1.0.0; https://registry.npmjs.org/@rc-component/qrcode/-/qrcode-1.0.0.tgz; Неизвестно; MIT; None
  node_modules/@rc-component/tour; 1.15.1; https://registry.npmjs.org/@rc-component/tour/-/tour-1.15.1.tgz; Неизвестно; MIT; None
  node_modules/@rc-component/trigger; 2.2.6; https://registry.npmjs.org/@rc-component/trigger/-/trigger-2.2.6.tgz; Неизвестно; MIT; None
  node_modules/@reduxjs/toolkit; 2.5.1; https://registry.npmjs.org/@reduxjs/toolkit/-/toolkit-2.5.1.tgz; Неизвестно; MIT; None
  node_modules/@sinclair/typebox; 0.27.8; https://registry.npmjs.org/@sinclair/typebox/-/typebox-0.27.8.tgz; Неизвестно; MIT; None
  node_modules/@sinonjs/commons; 3.0.1; https://registry.npmjs.org/@sinonjs/commons/-/commons-3.0.1.tgz; Неизвестно; BSD-3-Clause; None
  node_modules/@sinonjs/fake-timers; 10.3.0; https://registry.npmjs.org/@sinonjs/fake-timers/-/fake-timers-10.3.0.tgz; Неизвестно; BSD-3-Clause; None
  node_modules/@testing-library/dom; 10.4.0; https://registry.npmjs.org/@testing-library/dom/-/dom-10.4.0.tgz; Неизвестно; MIT; None
  node_modules/@testing-library/jest-dom; 6.6.3; https://registry.npmjs.org/@testing-library/jest-dom/-/jest-dom-6.6.3.tgz; Неизвестно; MIT; None
  node_modules/@testing-library/jest-dom/node_modules/chalk; 3.0.0; https://registry.npmjs.org/chalk/-/chalk-3.0.0.tgz; Неизвестно; MIT; None
  node_modules/@testing-library/jest-dom/node_modules/dom-accessibility-api; 0.6.3; https://registry.npmjs.org/dom-accessibility-api/-/dom-accessibility-api-0.6.3.tgz; Неизвестно; MIT; None
  node_modules/@testing-library/react; 16.2.0; https://registry.npmjs.org/@testing-library/react/-/react-16.2.0.tgz; Неизвестно; MIT; None
  node_modules/@tootallnate/once; 2.0.0; https://registry.npmjs.org/@tootallnate/once/-/once-2.0.0.tgz; Неизвестно; MIT; None
  node_modules/@tsconfig/node10; 1.0.11; https://registry.npmjs.org/@tsconfig/node10/-/node10-1.0.11.tgz; Неизвестно; MIT; None
  node_modules/@tsconfig/node12; 1.0.11; https://registry.npmjs.org/@tsconfig/node12/-/node12-1.0.11.tgz; Неизвестно; MIT; None
  node_modules/@tsconfig/node14; 1.0.3; https://registry.npmjs.org/@tsconfig/node14/-/node14-1.0.3.tgz; Неизвестно; MIT; None
  node_modules/@tsconfig/node16; 1.0.4; https://registry.npmjs.org/@tsconfig/node16/-/node16-1.0.4.tgz; Неизвестно; MIT; None
  node_modules/@types/aria-query; 5.0.4; https://registry.npmjs.org/@types/aria-query/-/aria-query-5.0.4.tgz; Неизвестно; MIT; None
  node_modules/@types/babel__core; 7.20.5; https://registry.npmjs.org/@types/babel__core/-/babel__core-7.20.5.tgz; Неизвестно; MIT; None
  node_modules/@types/babel__generator; 7.6.8; https://registry.npmjs.org/@types/babel__generator/-/babel__generator-7.6.8.tgz; Неизвестно; MIT; None
  node_modules/@types/babel__template; 7.4.4; https://registry.npmjs.org/@types/babel__template/-/babel__template-7.4.4.tgz; Неизвестно; MIT; None
  node_modules/@types/babel__traverse; 7.20.6; https://registry.npmjs.org/@types/babel__traverse/-/babel__traverse-7.20.6.tgz; Неизвестно; MIT; None
  node_modules/@types/body-parser; 1.19.5; https://registry.npmjs.org/@types/body-parser/-/body-parser-1.19.5.tgz; Неизвестно; MIT; None
  node_modules/@types/bonjour; 3.5.13; https://registry.npmjs.org/@types/bonjour/-/bonjour-3.5.13.tgz; Неизвестно; MIT; None
  node_modules/@types/connect; 3.4.38; https://registry.npmjs.org/@types/connect/-/connect-3.4.38.tgz; Неизвестно; MIT; None
  node_modules/@types/connect-history-api-fallback; 1.5.4; https://registry.npmjs.org/@types/connect-history-api-fallback/-/connect-history-api-fallback-1.5.4.tgz; Неизвестно; MIT; None
  node_modules/@types/cookie; 0.6.0; https://registry.npmjs.org/@types/cookie/-/cookie-0.6.0.tgz; Неизвестно; MIT; None
  node_modules/@types/doctrine; 0.0.9; https://registry.npmjs.org/@types/doctrine/-/doctrine-0.0.9.tgz; Неизвестно; MIT; None
  node_modules/@types/eslint; 9.6.1; https://registry.npmjs.org/@types/eslint/-/eslint-9.6.1.tgz; Неизвестно; MIT; None
  node_modules/@types/eslint-scope; 3.7.7; https://registry.npmjs.org/@types/eslint-scope/-/eslint-scope-3.7.7.tgz; Неизвестно; MIT; None
